Price,price,ma_fast,ma_slow,signal,position,returns,strategy_returns,equity
Ticker,AAPL,,,,,,,
Date,,,,,,,,
2020-05-15,74.6217269897461,71.02381973266601,66.07754325866699,1,1.0,-0.005911990736444772,-0.005911990736444772,10501.80464520992
2020-05-18,76.37991333007812,71.49401168823242,66.20709159851074,1,1.0,0.02356131935372696,0.02356131935372696,10749.241018246164
2020-05-19,75.93853759765625,72.04564666748047,66.43838737487793,1,1.0,-0.005778688573715107,-0.005778688573715107,10687.124501997916
2020-05-20,77.4154052734375,72.57765007019043,66.60649436950683,1,1.0,0.019448197483155516,0.019448197483155516,10894.96980983984
2020-05-21,76.83824157714844,73.09373397827149,66.81099311828613,1,1.0,-0.007455411416506519,-0.007455411416506519,10813.743327537066
2020-05-22,77.33295440673828,73.53853912353516,67.15695373535156,1,1.0,0.006438367399299816,0.006438367399299816,10883.366180041476
2020-05-26,76.80916595458984,73.95473518371583,67.34858444213867,1,1.0,-0.006773159724294708,-0.006773159724294708,10809.651402566067
2020-05-27,77.14382934570312,74.44317054748535,67.71988143920899,1,1.0,0.004357076228521217,0.004357076228521217,10856.749877730788
2020-05-28,77.17777252197266,74.82265396118164,68.04034309387207,1,1.0,0.0004399985916880844,0.0004399985916880844,10861.5268323873
2020-05-29,77.10259246826172,75.1249786376953,68.3892423248291,1,1.0,-0.000974115360605099,-0.000974115360605099,10850.946452260248
2020-06-01,78.05078125,75.53190994262695,68.76624725341797,1,1.0,0.012297754866395616,0.012297754866395616,10984.388731798532
2020-06-02,78.412109375,75.90744819641114,69.22564636230469,1,1.0,0.004629397928031631,0.004629397928031631,11035.239838234214
2020-06-03,78.8437728881836,76.25136299133301,69.71723510742187,1,1.0,0.005505061866390992,0.005505061866390992,11095.989516254156
2020-06-04,78.16476440429688,76.52420196533203,70.08636192321778,1,1.0,-0.008612074980857254,-0.008612074980857254,11000.43002255337
2020-06-05,80.39097595214844,76.87074508666993,70.50659141540527,1,1.0,0.028481011422701652,0.028481011422701652,11313.733395680341
2020-06-08,80.86627197265625,77.15362777709962,70.87383209228516,1,1.0,0.005912305639761417,0.005912305639761417,11380.623645442378
2020-06-09,83.41988372802734,77.5050205230713,71.34390144348144,1,1.0,0.0315782055123619,0.0315782055123619,11740.003317777004
2020-06-10,85.5660629272461,78.00737342834472,71.82269653320313,1,1.0,0.025727429760222575,0.025727429760222575,12042.04342851989
